Título,Fecha,Hora,Link,Latitud,Longitud
Encuentro de debate en Málaga,18/02/2024,10:00,,36.6893733,-4.4480119
Encuentro de debate en Tarragona,21/02/2024,18:00,,41.1200741,1.2452067
Encuentro de debate en Algeciras - Campo de Gibraltar,23/02/2024,18:00,,36.1379779,-5.4526146
Encuentro de debate en Santa Cruz de la Zarza,23/02/2024,18:00,,39.9835058,-3.2063762
Encuentro de debate en Talavera de la Reina,23/02/2024,17:30,,39.9642302,-4.8262236
Encuentro de debate en Cieza,23/02/2024,19:00,,38.2385854,-1.4294677
Encuentro de debate en Lorca,23/02/2024,18:30,,37.6695025,-1.7021539
Encuentro de debate en Madrid (Centro),24/02/2024,10:30,,40.4090812,-3.7094185
Encuentro de debate en Santander,24/02/2024,11:30,,43.4626079,-3.8076137
Encuentro de debate en Palma de Mallorca,24/02/2024,11:00,,39.575554,2.6511498
Encuentro de debate en Atarfe,24/02/2024,10:30,,37.2195747,-3.6910654
Encuentro de debate en Linares,24/02/2024,10:00,,38.1004523,-3.6345967
Encuentro de debate en Totana,24/02/2024,11:00,,37.7699771,-1.4998797
Encuentro de debate en Barcelona,26/02/2024,18:30,,41.3967463,2.1811433
Encuentro de debate en Zaragoza,28/02/2024,18:00,,41.6619896,-0.9037029
Encuentro de debate en Bahía de Cádiz,29/02/2024,18:00,https://actionnetwork.org/events/encuentro-de-debate-en-cadiz-bahia-de-cadiz-el-29-e-febrero-i-asamblea-sumar,36.5371593,-6.3014432
Encuentro de debate en Molina de Segura,29/02/2024,20:00,,38.0521515,-1.2162459
Encuentro de debate en Yecla,29/02/2024,19:30,,38.6157351,-1.1184324
Encuentro de debate en Salamanca,1/03/2024,18:00,https://actionnetwork.org/events/encuentro-de-debate-en-salamanca-i-asamblea-sumar,40.9626015,-5.6616907
Encuentro de debate en Alicante/Alacant,1/03/2024,17:30,https://actionnetwork.org/events/encuentro-de-debate-en-alicante-el-01-de-marzo-i-asamblea-sumar,38.3482842,-0.4914149
Encuentro de debate en Jerez de la Frontera,1/03/2024,18:00,https://actionnetwork.org/events/encuentro-de-debate-en-jerez-el-01-de-marzo-i-asamblea-sumar,36.6869646,-6.1377066
Encuentro de debate en Cartagena,1/03/2024,18:00,https://actionnetwork.org/events/encuentro-de-debate-en-cartagena-i-asamblea-sumar,37.6028031,-0.9988823
Encuentro de debate en Toledo,1/03/2024,18:00,https://actionnetwork.org/events/encuentro-de-debate-en-toledo-i-asamblea-sumar,39.8686206,-3.9618909
Encuentro de debate en Valladolid,1/03/2024,17:30,https://actionnetwork.org/events/encuentro-de-debate-en-valladolid-i-asamblea-sumar/,41.6380096,-4.742429
Encuentro de debate en Almería,1/03/2024,19:00,https://actionnetwork.org/events/encuentro-de-debate-en-almeria-el-01-de-marzo-i-asamblea-sumar/,36.8297409,-2.4494791
Encuentro de debate en Burgos,2/03/2024,10:00,https://actionnetwork.org/events/encuentro-de-debate-en-burgos-el-02-de-marzo-i-asamblea-sumar,42.3386711,-3.7176516
Encuentro de debate en València,2/03/2024,10:00,https://actionnetwork.org/events/trobada-de-debat-a-valencia-el-02-de-marc-i-assemblea-sumar/,39.474755,-0.3836195
Encuentro de debate en Villena,2/03/2024,10:00,https://actionnetwork.org/events/encuentro-de-debate-en-villena-alicante-el-02-de-marzo-i-asamblea-sumar,38.6324027,-0.8663923
Encuentro de debate en Murcia,2/03/2024,10:30,https://actionnetwork.org/events/encuentro-de-debate-en-murcia-i-asamblea-sumar,37.99432,-1.1449371
Encuentro de debate en Jaén,2/03/2024,10:00,https://actionnetwork.org/events/encuentro-de-debate-en-jaen-i-asamblea-sumar,37.7705095,-3.7919473
Encuentro de debate en Illescas,2/03/2024,11:00,https://actionnetwork.org/events/encuentro-de-debate-en-illescas-i-asamblea-sumar/,40.1256053,-3.8509879
Encuentro de debate en Córdoba,2/03/2024,17:00,https://actionnetwork.org/events/encuentro-de-debate-en-cordoba-el-02-de-marzo-i-asamblea-sumar,37.8857311,-4.830566
Encuentro de debate en Madrid (Moratalaz),2/03/2024,10:30,https://actionnetwork.org/events/encuentro-de-debate-en-madrid-moratalaz-i-asamblea-sumar,40.4064335,-3.649448
Encuentro de debate en Granada,2/03/2024,10:30,https://actionnetwork.org/events/encuentro-de-debate-en-granada-i-asamblea-sumar,37.1650147,-3.5999568
Encuentro de debate en Torrejón de Ardoz,2/03/2024,10:30,https://actionnetwork.org/events/encuentro-de-debate-en-torrejon-de-ardoz-asamblea-sumar,40.4593569,-3.4893772
